date;heure;nbrConnexion;nbrConnexionOccupe;nbrIdleUseConnexion;maxPoolSize;numUncloseOrthanConnexion;numUserPool;
20140327;000001;5;0;5;45;0;1;
20140327;001001;5;0;5;45;0;1;
20140327;002002;5;0;5;45;0;1;
20140327;003001;5;0;5;45;0;1;
20140327;004001;5;0;5;45;0;1;
20140327;005001;5;0;5;45;0;1;
20140327;010001;5;0;5;45;0;1;
20140327;011001;5;0;5;45;0;1;
20140327;012001;5;0;5;45;0;1;
20140327;013001;5;0;5;45;0;1;
20140327;014001;5;0;5;45;0;1;
20140327;015001;5;0;5;45;0;1;
20140327;020001;5;0;5;45;0;1;
20140327;021001;5;0;5;45;0;1;
20140327;022001;5;0;5;45;0;1;
20140327;023001;5;0;5;45;0;1;
20140327;024001;5;0;5;45;0;1;
20140327;025001;5;0;5;45;0;1;
20140327;030000;5;0;5;45;0;1;
20140327;031001;5;0;5;45;0;1;
20140327;032001;5;0;5;45;0;1;
20140327;033001;5;0;5;45;0;1;
20140327;034001;5;0;5;45;0;1;
20140327;035001;5;0;5;45;0;1;
20140327;040001;5;0;5;45;0;1;
20140327;041001;5;0;5;45;0;1;
20140327;042001;5;0;5;45;0;1;
20140327;043002;5;0;5;45;0;1;
20140327;044001;5;0;5;45;0;1;
20140327;045001;5;0;5;45;0;1;
20140327;050000;5;0;5;45;0;1;
20140327;051001;8;0;8;45;0;1;
20140327;052001;8;0;8;45;0;1;
20140327;053001;8;0;8;45;0;1;
20140327;054001;11;0;11;45;0;1;
20140327;055001;11;0;11;45;0;1;
20140327;060001;11;0;11;45;0;1;
20140327;061001;11;0;11;45;0;1;
20140327;062001;11;0;11;45;0;1;
20140327;063001;11;0;11;45;0;1;
20140327;064001;5;0;5;45;0;1;
20140327;065001;5;0;5;45;0;1;
20140327;070001;5;0;5;45;0;1;
20140327;071001;5;0;5;45;0;1;
20140327;072001;5;0;5;45;0;1;
20140327;073001;5;0;5;45;0;1;
20140327;074001;5;0;5;45;0;1;
20140327;075001;5;0;5;45;0;1;
20140327;080001;5;0;5;45;0;1;
20140327;081001;5;0;5;45;0;1;
20140327;082001;5;0;5;45;0;1;
20140327;083001;5;0;5;45;0;1;
20140327;084001;5;0;5;45;0;1;
20140327;085001;5;0;5;45;0;1;
20140327;090000;5;0;5;45;0;1;
20140327;091001;5;0;5;45;0;1;
20140327;092001;8;0;8;45;0;1;
20140327;093001;8;0;8;45;0;1;
20140327;094001;8;0;8;45;0;1;
20140327;095001;7;0;7;45;0;1;
20140327;100001;7;0;7;45;0;1;
20140327;101001;13;0;13;45;0;1;
20140327;102001;13;0;13;45;0;1;
20140327;103000;13;0;13;45;0;1;
20140327;104001;9;1;8;45;0;1;
20140327;105001;9;0;9;45;0;1;
20140327;110001;12;0;12;45;0;1;
20140327;111001;12;0;12;45;0;1;
20140327;112001;12;1;11;45;0;1;
20140327;113001;12;1;11;45;0;1;
20140327;114001;7;1;6;45;0;1;
20140327;115001;7;0;7;45;0;1;
20140327;120001;13;1;12;45;0;1;
20140327;121001;13;0;13;45;0;1;
20140327;122001;13;2;11;45;0;1;
20140327;123001;13;2;11;45;0;1;
20140327;124001;13;2;11;45;0;1;
20140327;125000;13;0;13;45;0;1;
20140327;130000;13;0;13;45;0;1;
20140327;131000;9;0;9;45;0;1;
20140327;132001;9;0;9;45;0;1;
20140327;133001;9;0;9;45;0;1;
20140327;134001;7;0;7;45;0;1;
20140327;135001;10;2;8;45;0;1;
20140327;140001;10;0;10;45;0;1;
20140327;141001;13;0;13;45;0;1;
20140327;142001;13;1;12;45;0;1;
20140327;143002;13;0;13;45;0;1;
20140327;144000;11;0;11;45;0;1;
20140327;145000;11;0;11;45;0;1;
20140327;150000;11;2;9;45;0;1;
20140327;151000;10;1;9;45;0;1;
20140327;152001;9;0;9;45;0;1;
20140327;153001;9;1;8;45;0;1;
20140327;154001;8;0;8;45;0;1;
20140327;155001;8;1;7;45;0;1;
20140327;160001;8;0;8;45;0;1;
20140327;161001;8;1;7;45;0;1;
20140327;162001;14;0;14;45;0;1;
20140327;163000;14;0;14;45;0;1;
20140327;164000;14;0;14;45;0;1;
20140327;165000;14;0;14;45;0;1;
20140327;170001;7;0;7;45;0;1;
20140327;171001;10;0;10;45;0;1;
20140327;172001;10;0;10;45;0;1;
20140327;173001;10;1;9;45;0;1;
20140327;174001;13;0;13;45;0;1;
20140327;175001;13;1;12;45;0;1;
20140327;180001;16;0;16;45;0;1;
20140327;181001;16;0;16;45;0;1;
20140327;182001;16;0;16;45;0;1;
20140327;183001;11;0;11;45;0;1;
20140327;184001;5;0;5;45;0;1;
20140327;185001;8;0;8;45;0;1;
20140327;190002;8;0;8;45;0;1;
20140327;191002;8;0;8;45;0;1;
20140327;192001;8;0;8;45;0;1;
20140327;193001;5;1;4;45;0;1;
20140327;194001;5;0;5;45;0;1;
20140327;195001;5;0;5;45;0;1;
20140327;200001;5;0;5;45;0;1;
20140327;201001;5;0;5;45;0;1;
20140327;202000;5;1;4;45;0;1;
20140327;203000;5;0;5;45;0;1;
20140327;204001;5;0;5;45;0;1;
20140327;205001;5;0;5;45;0;1;
20140327;210001;5;0;5;45;0;1;
20140327;211001;8;0;8;45;0;1;
20140327;212001;8;0;8;45;0;1;
20140327;213001;8;0;8;45;0;1;
20140327;214001;5;0;5;45;0;1;
20140327;215001;5;0;5;45;0;1;
20140327;220001;5;0;5;45;0;1;
20140327;221001;5;0;5;45;0;1;
20140327;222001;5;1;4;45;0;1;
20140327;223001;5;0;5;45;0;1;
20140327;224001;5;1;4;45;0;1;
20140327;225001;8;0;8;45;0;1;
20140327;230001;8;0;8;45;0;1;
20140327;231001;8;0;8;45;0;1;
20140327;232001;8;1;7;45;0;1;
20140327;233001;5;1;4;45;0;1;
20140327;234001;5;0;5;45;0;1;
20140327;235001;5;0;5;45;0;1;
