date;heure;nbrConnexion;nbrConnexionOccupe;nbrIdleUseConnexion;maxPoolSize;numUncloseOrthanConnexion;numUserPool;
20140327;000001;5;0;5;45;0;1;
20140327;001001;5;0;5;45;0;1;
20140327;002001;5;0;5;45;0;1;
20140327;003001;5;0;5;45;0;1;
20140327;004001;5;0;5;45;0;1;
20140327;005001;5;0;5;45;0;1;
20140327;010001;5;0;5;45;0;1;
20140327;011001;5;0;5;45;0;1;
20140327;012001;5;0;5;45;0;1;
20140327;013001;5;0;5;45;0;1;
20140327;014001;5;0;5;45;0;1;
20140327;015001;5;1;4;45;0;1;
20140327;020001;5;0;5;45;0;1;
20140327;021001;5;0;5;45;0;1;
20140327;022001;5;0;5;45;0;1;
20140327;023001;5;0;5;45;0;1;
20140327;024001;5;0;5;45;0;1;
20140327;025001;5;0;5;45;0;1;
20140327;030001;5;0;5;45;0;1;
20140327;031001;5;0;5;45;0;1;
20140327;032001;5;0;5;45;0;1;
20140327;033001;5;0;5;45;0;1;
20140327;034001;5;0;5;45;0;1;
20140327;035001;5;0;5;45;0;1;
20140327;040001;5;0;5;45;0;1;
20140327;041001;5;0;5;45;0;1;
20140327;042002;5;0;5;45;0;1;
20140327;043002;5;0;5;45;0;1;
20140327;044001;5;0;5;45;0;1;
20140327;045000;5;0;5;45;0;1;
20140327;050001;5;0;5;45;0;1;
20140327;051001;5;0;5;45;0;1;
20140327;052001;5;0;5;45;0;1;
20140327;053001;5;0;5;45;0;1;
20140327;054001;5;0;5;45;0;1;
20140327;055002;5;0;5;45;0;1;
20140327;060001;5;1;4;45;0;1;
20140327;061001;5;1;4;45;0;1;
20140327;062001;5;0;5;45;0;1;
20140327;063001;5;0;5;45;0;1;
20140327;064001;5;0;5;45;0;1;
20140327;065001;5;0;5;45;0;1;
20140327;070001;5;0;5;45;0;1;
20140327;071001;5;0;5;45;0;1;
20140327;072001;5;0;5;45;0;1;
20140327;073001;5;0;5;45;0;1;
20140327;074001;5;0;5;45;0;1;
20140327;075001;5;1;4;45;0;1;
20140327;080001;5;0;5;45;0;1;
20140327;081001;5;0;5;45;0;1;
20140327;082001;5;0;5;45;0;1;
20140327;083001;8;0;8;45;0;1;
20140327;084001;8;0;8;45;0;1;
20140327;085001;8;1;7;45;0;1;
20140327;090001;5;0;5;45;0;1;
20140327;091001;8;1;7;45;0;1;
20140327;092001;8;0;8;45;0;1;
20140327;093001;8;0;8;45;0;1;
20140327;094001;8;0;8;45;0;1;
20140327;095001;5;0;5;45;0;1;
20140327;100001;5;1;4;45;0;1;
20140327;101001;5;0;5;45;0;1;
20140327;102001;8;0;8;45;0;1;
20140327;103001;8;0;8;45;0;1;
20140327;104001;8;1;7;45;0;1;
20140327;105001;8;0;8;45;0;1;
20140327;110001;5;0;5;45;0;1;
20140327;111000;5;0;5;45;0;1;
20140327;112000;5;1;4;45;0;1;
20140327;113002;5;0;5;45;0;1;
20140327;114001;5;0;5;45;0;1;
20140327;115001;5;0;5;45;0;1;
20140327;120001;5;0;5;45;0;1;
20140327;121001;5;0;5;45;0;1;
20140327;122001;5;0;5;45;0;1;
20140327;123001;5;2;3;45;0;1;
20140327;124001;5;0;5;45;0;1;
20140327;125001;5;0;5;45;0;1;
20140327;130001;5;0;5;45;0;1;
20140327;131001;5;1;4;45;0;1;
20140327;132001;5;0;5;45;0;1;
20140327;133001;8;0;8;45;0;1;
20140327;134001;8;0;8;45;0;1;
20140327;135001;8;0;8;45;0;1;
20140327;140000;8;0;8;45;0;1;
20140327;141001;8;0;8;45;0;1;
20140327;142001;8;0;8;45;0;1;
20140327;143001;6;0;6;45;0;1;
20140327;144000;5;2;3;45;0;1;
20140327;145000;8;0;8;45;0;1;
20140327;150001;8;0;8;45;0;1;
20140327;151001;8;0;8;45;0;1;
20140327;152001;8;0;8;45;0;1;
20140327;153001;6;0;6;45;0;1;
20140327;154001;6;0;6;45;0;1;
20140327;155001;9;0;9;45;0;1;
20140327;160000;9;1;8;45;0;1;
20140327;161001;9;0;9;45;0;1;
20140327;162001;9;0;9;45;0;1;
20140327;163002;8;0;8;45;0;1;
20140327;164002;8;2;6;45;0;1;
20140327;165001;8;0;8;45;0;1;
20140327;170001;8;1;7;45;0;1;
20140327;171001;6;0;6;45;0;1;
20140327;172001;5;0;5;45;0;1;
20140327;173001;5;1;4;45;0;1;
20140327;174001;5;0;5;45;0;1;
20140327;175001;5;0;5;45;0;1;
20140327;180001;5;1;4;45;0;1;
20140327;181001;8;0;8;45;0;1;
20140327;182001;8;0;8;45;0;1;
20140327;183001;8;1;7;45;0;1;
20140327;184001;5;0;5;45;0;1;
20140327;185001;5;0;5;45;0;1;
20140327;190001;5;0;5;45;0;1;
20140327;191001;5;0;5;45;0;1;
20140327;192001;5;0;5;45;0;1;
20140327;193001;5;0;5;45;0;1;
20140327;194001;5;0;5;45;0;1;
20140327;195001;5;0;5;45;0;1;
20140327;200001;5;0;5;45;0;1;
20140327;201001;5;1;4;45;0;1;
20140327;202001;5;0;5;45;0;1;
20140327;203000;5;0;5;45;0;1;
20140327;204000;5;0;5;45;0;1;
20140327;205001;5;0;5;45;0;1;
20140327;210001;5;0;5;45;0;1;
20140327;211002;5;0;5;45;0;1;
20140327;212001;5;0;5;45;0;1;
20140327;213001;5;0;5;45;0;1;
20140327;214001;5;0;5;45;0;1;
20140327;215001;5;0;5;45;0;1;
20140327;220001;5;1;4;45;0;1;
20140327;221001;5;1;4;45;0;1;
20140327;222001;5;0;5;45;0;1;
20140327;223001;5;1;4;45;0;1;
20140327;224001;5;1;4;45;0;1;
20140327;225001;5;0;5;45;0;1;
20140327;230001;5;0;5;45;0;1;
20140327;231001;5;0;5;45;0;1;
20140327;232001;5;0;5;45;0;1;
20140327;233001;5;0;5;45;0;1;
20140327;234000;5;0;5;45;0;1;
20140327;235000;5;0;5;45;0;1;
